review_index,date,review,hotel_index,label,classified_label
0,2021년 6월,"조식이 세미 뷔페식이었어요. 
여자친구는 건강식 전 펜케익을 먹었었는데 맛은 매우 만족스러웠어요.
고급스러운 호텔 조식을 원하신다면 추천합니다.",1,1,
1,2022년 1월,뷰가 좋아요!,1,1,
2,2022년 1월,"우선, 예약 상 문제가 있었던 부분에 대해 콘래드 측에서 즉각적인 대응을 해주셔서,
만족스러운 서비스를 받은 점에 대해 감사드립니다.
IFC 몰이 지하로 바로 연결 되고, 이를 통해 더 현대까지 지하로 이용 할 수 있어
편안한 쇼핑이 가능하며, 한강까지도 도보로 갈 수 있을 정도로의 거리입니다.
한강 조망이 가능한 방에서는 이를 보고 있는 것 만으로 편안한 휴식이 되며,
실내 수영장도 레인 구분을 통해 가족간 이용 또는 자유 수영 하기 좋은 환경이었습니다.
조식도 신선한 재료를 사용했다는 느낌을 받아 만족스럽게 이용했습니다.",1,1,
3,2022년 2월,"접근성, 고급스러움",1,1,
4,2022년 2월,쇼핑몰과 연결되어 있어 이동이 편했습니다.,1,1,
5,2022년 2월,조식 맛잇엇어요 직원분들이 친절햇습니다,1,1,
6,2022년 2월,조식 너무 맛있었어요,1,1,
7,2022년 2월,흩어져있는 지인들 모이기 좋은 위치였어요.,1,1,
8,2022년 2월,응대하시는분들 서비스 최고. 룸 컨디션 좋았습니다,1,1,
9,2022년 2월,좋은자리에서 친절한 응대로 기분좋게 다양한 메뉴의 맛있는 아침식사를 하였습니다.,1,1,
10,2022년 2월,체크인 시간이 너무 길었어요!,1,1,
11,2022년 2월,"화장실 개수구가 고장나서 물이 안빠짐
객실 안내 전 꼼꼼한 수리가 필요해보임",1,1,
12,2022년 2월,"객실에 의자가 1개 밖에 없어서 불편했어요.
프론트에 요청을 했지만 남아 있는 의자가 없어서 서비스가 불가능하다는 답변을 받았습니다.",1,1,
13,2022년 2월,"음식 가지수가 많지 않앗어요 
핸드폰 충전기가 부족해 이용 하지 못햇습니다",1,1,
14,2022년 2월,새벽부터 아침까지 알수없는 소음으로 잠을 설쳤습니다 ㅠㅠ,1,1,
15,2022년 2월,"아무리 찾아도 어메니티 중에 빗이 없음;;
깨끗하고 넓은 거외엔 이렇다할 특이사항이 없음.
두명이 쓰는데 테이블 의자가 하나인것도 아쉬움",1,1,
16,2022년 2월,"욕실안에 있는 컵이 너무 위험해요
아이가 양치하다가 깨서 변상도했습니다",1,1,
17,2022년 2월,조식이 뷔페인데 좁고 가격대비 부족해요ㅠ,1,1,
18,2022년 2월,5성급 호텔이라는 점을 감안하면 조식에서 다소 아쉬웠습니다. 첫방문이라 ZEST 주방인원분들이 평소보다 적었는지는 알 수 없었지만 음식이 리플레이팅 되는 시간이 오래 걸렸습니다.,1,1,
19,2022년 2월,체크인시 많이 붐비는 편입니다.,1,1,
20,2022년 2월,룸이 엘리베이터 앞쪽이라 밤에도 소음이 조금 있었지만 다른 부분은 너무 만족해서 감안하고 잘 쉬다가 갔습니다 :),1,1,
21,2022년 2월,"방음이 너무 안되는듯요. 방바깥에서 사람들 왔다갔다 하는
소리며 문여닫는 소리가 너무 잘 들려서 방안 소리도 그렇게 들릴거 같아 신겅쓰였어요.
게다가 주차등록은 두대까지 된다 하시고는 한대만 등록해두셔서 나중에 출차힐때 좀 번거로웠네요.",1,1,
22,2022년 2월,발렛에 국산차는 지하로 내리는게 룰인가요?ㅋㅋ 기다리는데 이십분 쏟앗습니당!,1,1,
23,2022년 1월,"체크인 시간 한참뒤에 객실배정받음(레이트체크아웃해줌), 조식",1,1,
24,2022년 1월,와이파이 유료 정책이 IT강국에서 웬 말인가요ㅎㅎ 인기 많아서 그런지 체크인 대기가 좀 있어요,1,1,
25,2022년 1월,"객실내에서 프론트 전화연결이 너무 어려워 필요시 일일이 내려가서 요청해야 했는데, 호텔의 수준에 비해 잘 작동되지 않는것 같아 개선이 필요해보임.",1,1,
26,2022년 1월,시티뷰/리버뷰 모두 가능한 객실 예매했는데 리버뷰는 대기를 좀 오래한다고 하셔서 결국 시티뷰를 선택했는데 조금 아쉬웠습니다. 식탁에 의자가 2개라 밥먹기가 조금 애매했습니다.,1,1,
27,2022년 1월,조식 맛없음.,1,1,
28,2022년 1월,객실이 너무 건조해서 코가 아팠어요,1,1,
29,2022년 1월,샤워실에 샴푸가 미리 채워져 있지 않아서 씻을 때 시간이 지체되었어요.,1,1,
30,2022년 1월,"컴플레인 등 문제를 제시했을때 보상이나 서비스 시스템 부족.
ex) 조식 식사시, 음식에서 머리카락이 나옴>아무 보상 없이 사과로 대체",1,1,
31,2022년 1월,조식시간에 8시 반 이후로는 20~30분씩 대기를 해야 하는 점이 불편했습니다,1,1,
32,2022년 1월,체크인할때 사람들이 안전거리 확보가 안된상태로 진행되어 아쉬웠습니다.,1,1,
33,2022년 1월,여의도 칼바람이 겨울철이라 더 강해서 밤에 좀 시끄러웠습니다,1,1,
