,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description,video_Address,publishedAt_specific_date
1881,2_bYmGClnxk,100시간 극한의 특수부대 훈련을 경험한다 l 가짜사나이2 Ep1,2020-10-01 11:00:01,UCdtRAcd3L_UpV4tMXCw63NQ,피지컬갤러리,17,2020-10-11 00:00:00,가짜사나이|무사트|UDT|에이전트H|김계란|특수부대|김병지|줄리엔강|샘김,13501965,257538,7900,127206,https://i.ytimg.com/vi/2_bYmGClnxk/default.jpg,False,False,"#가짜사나이2 #무사트 #왓챠100시간 극한의 특수부대 훈련을 경험한다 l 가짜사나이2 Ep110월 1일 국군의 날입니다.지금 이 시간에도 조국 수호를 위해 헌신하고 계신대한민국 모든 국군 장병들에게 감사의 말씀을 전합니다. 본 프로그램의 MUSAT 특별 훈련 과정은 특정한 목적을 가진 특수부대 등에서만 시행되며 안전 감독관, 전문 의료진 및 UDT/SEAL 출신의 MUSAT 교관들의 안전 통제하에 진행되었으며 모든 훈련은 사유지에서 진행되었습니다 .참가자들의 고통스러워하는 장면을 부담스러워하실수 있는 분들의 시청에 특별한 주의를 부탁드리며 절대 따라 하지 마시길 바랍니다.Do Not Attempt to Duplicate.유료 광고테라/왓챠/파워에이드/케토톱/레이지소사이어티/언더아머/농심 제품 협찬 및 제작지원현대자동차/GoPRO/DUCATI/OXK/올라이드/액션기어/코오롱스포츠/100%/금호타이어/알에프텔레콤 /COBO/BALLER/MUSATGEAR/Garmin 촬영사진기사bhotographer_영상 구성에 있어 컷을 혼용한 장면이 있습니다. 이 점 시청에 유의하시길 바랍니다 :)",https://www.youtube.com/watch?v=2_bYmGClnxk,2020-10-01
1886,_gVgRk1rqII,나훈아신곡 테스형 수업 악보있음 KBS대한민국어게인 김소연노래교실,2020-10-01 12:30:58,UCgfJGLeX3WwE0Lta738CFXg,김소연노래교실,10,2020-10-13 00:00:00,#나훈아 #테스형 #2020신곡 #대한민국어게인 #나훈아콘서트|#노래수업 #김소연노래교실 #가황 #추석특집#빨간구두tv #강현순,113787,3188,88,175,https://i.ytimg.com/vi/_gVgRk1rqII/default.jpg,False,False,"나훈아의 신곡 테스형 여자음정으로 수업해봤습니다!영상 끝부분에 전곡 불러보기합니다!김소연노래교실 김소연의 힐링음악여행 매주 월,목요일 밤8시방송 네이버밴드 김소연노래교실사랑방 가입문의 01054589975#나훈아 #테스형 #대한민국어게인",https://www.youtube.com/watch?v=_gVgRk1rqII,2020-10-01
1898,qvu4nPMyl3U,BTS (방탄소년단) 'Savage Love' (Laxed – Siren Beat) [BTS Remix] Lyric Video,2020-10-02 04:00:02,UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,10,2020-10-12 00:00:00,방탄소년단|BTS|BANGTAN|HIPHOP|알엠|RM|슈가|SUGA|제이홉|jhope|지민|JIMIN|뷔|정국|JUNGKOOK|진|JIN,45172935,4547580,39807,365239,https://i.ytimg.com/vi/qvu4nPMyl3U/default.jpg,False,False,#SavageLoveRemix #BTS #방탄소년단Connect with BTS: https://ibighit.com/bts http://twitter.com/BTS_bighithttp://twitter.com/BTS_twt http://www.facebook.com/bangtan.official https://www.youtube.com/user/BANGTANTV http://instagram.com/BTS.bighitofficial https://channels.vlive.tv/FE619 https://www.tiktok.com/@bts_official_bighithttps://weverse.onelink.me/qt3S/94808190https://www.weibo.com/BTSbighithttps://www.weibo.com/BTSmembers http://i.youku.com/btsofficial http://btsblog.ibighit.com,https://www.youtube.com/watch?v=qvu4nPMyl3U,2020-10-02
1899,dyRsYk0LyA8,BLACKPINK – ‘Lovesick Girls’ M/V,2020-10-02 04:00:13,UCOmHUn--16B90oW2L6FRR3A,BLACKPINK,10,2020-10-13 00:00:00,YG Entertainment|YG|와이지|K-pop|BLACKPINK|블랙핑크|블핑|제니|로제|리사|지수|Lisa|Jisoo|Jennie|Rosé|BLINK|블링크|Lovesick Girls|BLACKPINK Lovesick Girls|블랙핑크 Lovesick Girls|THE ALBUM|BLACKPINK THE ALBUM|블랙핑크 THE ALBUM|BLACKPINK LSG|LSG|블랙핑크 LSG,161416953,9537518,148435,1541326,https://i.ytimg.com/vi/dyRsYk0LyA8/default.jpg,False,False,"BLACKPINK – ‘Lovesick Girls’영원한 밤창문 없는 방에 우릴 가둔 loveWhat can we say매번 아파도 외치는 love다치고 망가져도 나뭘 믿고 버티는 거야어차피 떠나면 상처투성인 채로 미워하게 될걸끝장을 보기 전 끝낼 순 없어이 아픔을 기다린 것처럼아마 다 잠깐 일지도 몰라우린 무얼 찾아서 헤매는 걸까But I don’t care I’ll do it over and over내 세상 속엔 너만 있으면 돼We are the lovesick girls네 멋대로 내 사랑을 끝낼순 없어We are the lovesick girls이 아픔 없인 난 아무 의미가 없어But we were born to be aloneYeah we were born to be aloneYeah we were born to be alone But why we still looking for loveNo love letters, no x and o’sNo love never, my exes knowNo diamond rings, that set in stoneTo the left, better left aloneDidn’t wanna be a princess, I’m pricelessA prince not even on my listLove is a drug that I quitNo doctor could help when I’m lovesick아마 다 잠깐 일지도 몰라우린 무얼 찾아서 헤매는 걸까불안한 내 눈빛 속에 널 담아아프더라도 너만 있으면 돼We are the lovesick girls네 멋대로 내 사랑을 끝낼 순 없어We are the lovesick girls이 아픔 없인 난 아무 의미가 없어But we were born to be aloneYeah we were born to be aloneYeah we were born to be alone But why we still looking for love사랑은 slippin’ and fallin’사랑은 killin’ your darlin’아프다 아물면 또 찾아오는 이 겁 없는 떨림들리지 않아 what you say이 아픔이 난 행복해나를 불쌍해 하는 네가 내 눈엔 더 불쌍해We are the lovesick girls네 멋대로 내 사랑을 끝낼 순 없어We are the lovesick girls이 아픔없인 난 아무 의미가 없어Lovesick girls 모두 결국 떠나가고Lovesick girls내 눈물이 무뎌져도Lovesick girls아프고 또 아파도Lovesick girlsBut we’re still looking for loveAvailable on @ https://smarturl.it/BLACKPINKTHEALBUM  Official BLACKPINK Merchandise: http://smarturl.it/BLACKPINKShop/   More about BLACKPINK @http://www.blackpinkofficial.com/http://www.facebook.com/BLACKPINKOFFICIALhttp://www.youtube.com/BLACKPINKOFFICIALhttp://www.instagram.com/BLACKPINKOFFICIALhttps://twitter.com/BLACKPINK#BLACKPINK #블랙핑크 #1stFULLALBUM #THEALBUM #LovesickGirls #MV #20201002_12amEST #20201002_1pmKST #OutNow #YG",https://www.youtube.com/watch?v=dyRsYk0LyA8,2020-10-02
1902,D8RZbI1jfQ0,Lovesick Girls,2020-10-02 04:10:22,UCkbbMCA40i18i7UdjayMPAg,BLACKPINK - Topic,10,2020-10-11 00:00:00,BLACKPINK|THE ALBUM|Lovesick Girls,5883878,218032,3525,3758,https://i.ytimg.com/vi/D8RZbI1jfQ0/default.jpg,False,False,Provided to YouTube by YG EntertainmentLovesick Girls · BLACKPINKTHE ALBUM℗ YG ENTERTAINMENTProducer: R.TeeAuto-generated by YouTube.,https://www.youtube.com/watch?v=D8RZbI1jfQ0,2020-10-02
1906,JLzkjRmwJ_E,"상상도 못한 정체, 한글로 단군이라 적힌 동전을 쓰고있는 나라?",2020-10-02 05:00:02,UC9HNi_aAXBgpI2zhibOAfAA,어썸 코리아 Awesome KOREA,24,2020-10-11 00:00:00,[None],2604334,61773,1228,8222,https://i.ytimg.com/vi/JLzkjRmwJ_E/default.jpg,False,False,"자세히 보지 않으면 누가봐도 한국동전같은 이 동전,어떤나라에서, 무슨 이유로 발행한걸까요?♥영상이 재미있으셨다면 구독 좋아요 누르는 센스!♥출연자분들이 체험해봤으면 하는 것들이나   듣고싶은 이야기가 있다면 ☞댓글☜ 로 남겨주세요＊AWESOME한 출연진 정보＊▶오네게 : https://www.instagram.com/5555_onege/※※※어썸코리아 출연문의 : awesomekorea01@gmail.com한국을 사랑하는 외국인분들의 이야기를 기다립니다:)",https://www.youtube.com/watch?v=JLzkjRmwJ_E,2020-10-02
1907,nA3mmEDm0cA,생존자가 말하는 버뮤다 삼각 지대에 대한 새로운 사실,2020-10-02 05:00:13,UCWklve34yV5A9A69-1sRLBA,밝은 면 Bright Side Korea,24,2020-10-11 00:00:00,밝은면|bright side Korea|bright side video|creativity inspiration|Bright Side Korean|신비한 것|이상한 실종|bright side korea|암흑 에너지가 무엇일까|이상한 장소|버뮤다 삼각지대의 수수께끼|지구에 관한 사실|버뮤다 삼각지 미스터리|지구의 비밀|우주의 팽창|버뮤다 삼각지 실종|버뮤다 삼각지에서 일어나는 일|위험한 장소|bright side korean|버뮤다 삼각지 대의 실종|버뮤다 삼각지 사실|신비한 장소|#밝은면|버뮤다 삼각지 대의 생존자|설명할 수없는 것|비행기 추락,1433039,14928,924,2162,https://i.ytimg.com/vi/nA3mmEDm0cA/default.jpg,False,False,"버뮤다 삼각 지대에서 배와 비행기가 흔적도 없이 사라지는 이유는 무엇일까요? 지도 위에서, 버뮤다 섬, 푸에르토리코, 마이애미, 그리고 다시 버뮤다 섬을 선으로 연결하면, 어떤 모양이 나올까요? 네, 그것은 삼각형이에요. 수 세기 동안 2,000척의 배와 200대의 항공기를 집어삼킨 신비하고도 불길한 도형이죠! 오늘은 여러분께서 아마 들어 보지 못 했던 버뮤다 삼각 지대에 관한 이야기를 준비했습니다.그 비행기는 비치크라프트 보난자의 단발기였습니다. 조종사 브루스 게넌은 자신의 아버지와 동업자, 두 명의 승객을 태웠습니다. 그들은 바하마 안드로스 섬에서 출발해 북서쪽 플로리다 해안으로 향했습니다. 그 날은 1970년 12월 4일이었습니다. 브루스가 전에 수십 번도 했던 비행이었죠! 하지만 이번엔 달랐습니다. 이들은 아주 흔하지 않은 상황을 직면할 예정이었으니까요...-----------------------------------------------------------------------------------------------우리 체널을 구독하세요~~~밝은면 Bright Side Korea: https://bit.ly/2DcGBWb음악 에피데믹 사운드 / Epidemic Sound  https://www.epidemicsound.com/사진, 영상 및 기타:https://www.depositphotos.comhttps://www.shutterstock.comhttps://www.eastnews.ru",https://www.youtube.com/watch?v=nA3mmEDm0cA,2020-10-02
1917,ewgJBJ8aSzk,(경)500만뷰 달성(축) 치킨 본사 또 쳐들어갔습니다 [네고왕] 특별편,2020-10-02 09:30:00,UC0SoPwEH3idvemSDvKaYgGA,달라스튜디오,23,2020-10-11 00:00:00,예능|달라스튜디오|DALLA|비비큐|치킨모델|양념치킨|후라이드치킨|반반|MUKBANG|메이플버터갈릭치킨,3550227,125304,753,16823,https://i.ytimg.com/vi/ewgJBJ8aSzk/default.jpg,False,False,"0:54 하다하다 엘리베이터까지 도와주는 예능왕 황광힄ㅋㅋㅋㅋ조회수 500만 달성 기념✌️치킨왕 또 만나서 통큰 네고 성공ㅋㅋㅋ구독자 여러분 감사합니다 😭👏👏👏 [계약서]1. 모델 계약 기간은 1년으로 한다2. 신제품 “광희나는 메이플 버터 갈릭치킨”의 정가를 22,000원 👉 19,900원으로 조정 네고 확정한다3. 방송 후 그 시간부터 일주일간(10/2~10/8) BBQ 자사앱에서 선출시되는 “광희나는 메이플 버터 갈릭치킨” 은 추가 5,000원을 할인하여 14,900원으로 할인한다  (본사 부담. 가맹점에는 부담이 없게한다)네고왕 황광희치킨왕 윤홍근선팩폭 후네고 예능 [네고왕]🔔 매주 금요일 오후 6시 30분🔔 구독+댓글+알림설정ㄱㄱ기획 : 고동완제작 : 강경민 백승엽 배민지 김지인 작가 : 이민정 유희경#네고왕 #NegoKing #달라스튜디오 #황광희 #기업리뷰 #제품리뷰 #서비스리뷰 #치킨 #BBQ",https://www.youtube.com/watch?v=ewgJBJ8aSzk,2020-10-02
1920,NNyRqaF8JpA,"가짜사나이2 교육생 14명, 당신이 몰랐던 14가지 사실",2020-10-02 11:00:05,UCobTIrypPeWqzeAQF0Eq-Jw,인물 백과사전,24,2020-10-12 00:00:00,가짜사나이2|가짜사나이|가짜사나이 2기|가짜사나이 1|가짜사나이 교관|가짜사나이 리뷰|인물백과,1295195,11972,447,1288,https://i.ytimg.com/vi/NNyRqaF8JpA/default.jpg,False,False,"가짜사나이2 교육생에 대한 모든것(가짜사나이 2기)1번 김병지2번 줄리엔 강 3번 힘의길4번 이과장5번 곽윤기6번 손민수7번 까로8번 지기TV9번 조재원10번 머독11번 최고다윽박12번 홍구13번 오현민14번 샘 김자료 출처피지컬갤러리https://www.youtube.com/channel/UCdtRAcd3L_UpV4tMXCw63NQ김병지 인스타그램https://www.instagram.com/skeeper1/김병지 유튜브https://www.youtube.com/channel/UCKgYRjFGgvj7aS8y4EhH2CA줄리엔강 인스타그램https://www.instagram.com/julienkang/줄리엔강 유튜브https://www.youtube.com/channel/UCFyzGa2KYUAwwuJU-z0EjnA힘의길 인스타그램https://www.instagram.com/road_of_the_strength/?hl=ko힘의길 유튜브https://www.youtube.com/channel/UC5Bf4dJ3dR9C3COg7_qmf2g이과장 인스타그램https://www.instagram.com/managerlee18/?hl=ko이과장 유튜브https://www.youtube.com/channel/UCtfriFvIe5gIe8wRWb8UTMg곽윤기 인스타그램https://www.instagram.com/yoongykwak곽윤기 유튜브https://www.youtube.com/channel/UCKurJtf5TWo5nrq8nnuvrcg손민수 인스타그램https://instagram.com/minsoorrr?igshid=19lml4yuki21o손민수 유튜브https://www.youtube.com/channel/UCj-durTg1W7uWsB8oq0u7kA까로 인스타그램https://www.instagram.com/kidocaro/까로 유튜브https://www.youtube.com/c/carovlogs/featured지기TV 인스타그램https://www.instagram.com/jigitv91지기TV 유튜브https://www.youtube.com/channel/UCQ4eZwsMew7ZaV_HKXnQLGg조재원 인스타그램https://www.instagram.com/jojaewon0703/조재원 유튜브https://www.youtube.com/channel/UC2o_y872S6YvaO1K8EYnoxg머독 인스타그램http://www.instagram.com/angry_boy_man머독 유튜브http://www.youtube.com/user/AngrySmiile최고다윽박 인스타그램https://www.instagram.com/ipokid/최고다윽박 유튜브https://www.youtube.com/channel/UCg_lS-XS9Fh9I6Rl56Z8fpg홍구 인스타그램http://instagram.com/h9_sb/홍구 유튜브https://www.youtube.com/channel/UCaNGiz6D2vHP7XLj9d5691A/featured오현민 인스타그램https://www.instagram.com/ohyunmin/오현민 유튜브https://www.youtube.com/channel/UClu0udsIHkalM416ttWe_Zw샘김 인스타그램http://instagram.com/leegititssam샘김 유튜브https://www.youtube.com/channel/UCVZwtg0UzSN0PxiU92S6Q2A이메일inmul100gwa@gmail.com유튜브 공유 기능 외 무단 업로드(페이스북) 금지합니다.세상의 모든 인물, 인물백과사전입니다더 많은 인물에 대해 알고 싶다면, 인물백과를 구독하고 받아보세요!#가짜사나이2 #인물백과",https://www.youtube.com/watch?v=NNyRqaF8JpA,2020-10-02
1922,x5FgRWNEfrU,🐲신서유기8 어서오고. 언택트 최적화 방구석 예능이 시즌팔로 돌아왔따 | 신서유기8 하이라이트,2020-10-02 12:49:19,UCQ2O-iftmnlfrBuNsUUTofQ,채널 십오야,24,2020-10-12 00:00:00,나영석|나PD|아간세|아이슬란드간세끼|이수근|수근세끼|은지원|지원세끼|삼시세끼|세끼|신효정|나피디|묘한이|tvN|라끼남|라면|라면끼리는남자|강호동|양정우|육봉선생|6봉선생|라면먹방|마포멋쟁이|마포|멋쟁이|송민호|표지훈|민호|지훈|피오|MINO|PO|P.O|위너|WINNER|송표|표송|패션|패션유튜버|패션유튜브|삼시네세끼|달나라공약이행프로젝트|달나라프로젝트|달나라|젝스키스|젝키|젝서키|젝스키|이재진|재진|김재덕|재덕|장수원|수원|Sechs Kies|슬의|슬기로운하드털이|슬의생|슬기로운의사생활|신원호|워노|이우정|조정석|정경호|유연석|김대명|전미도|이익준|김준완|안정원|양석형|채송화|용석민|문태유|도재학|이익순|곽선영|겨울정원|신현빈|장겨울|수빈쌤|hospitalplaylist|이식당|나홀로이식당|나노|정원겨울|춘하추동|우주|김준|피아노치는곰돌이|신서유기8,2440360,52589,568,4333,https://i.ytimg.com/vi/x5FgRWNEfrU/default.jpg,False,False,#신서유기8 #시월구일 #한글날첫방송과거와 현재를 넘나드는 상상초월 용볼 쟁탈전!신서유기8 - 옛날 옛적에시월 구일 (금) 한글날 밤 아홉시 십분 티브이엔 첫방송!,https://www.youtube.com/watch?v=x5FgRWNEfrU,2020-10-02
