categoryId,categoryName,view_count,likes,comment_count
1,Film & Animation,114894696,2317844,296259
2,Autos & Vehicles,21763869,331614,70039
10,Music,1634669793,97223778,9791376
15,Pets & Animals,40182479,573111,67901
17,Sports,213726535,2707042,834693
19,Travel & Events,36213714,617573,59689
20,Gaming,154525072,5312577,432318
22,People & Blogs,339541924,9781406,912042
23,Comedy,112768837,3155906,294596
24,Entertainment,1112367212,33791076,3101709
25,News & Politics,98805376,826651,328476
26,Howto & Style,79705061,1410636,90956
27,Education,21969235,548582,51809
28,Science & Technology,122865293,2633612,80480
29,Society & Issue,3316303,31205,1515
