word,value
먹방,576
브이로그,253
주식,251
사랑,248
돌아,248
왁싱,231
야생,231
아리,231
아빠,225
사장님,225
실제,225
식탁,225
배지,225
모두,225
부모님,225
강아지,225
신곡,225
집사,225
라이브,213
꼬리,213
2020,213
이게,213
늑대,213
최초,213
어린,213
소개팅,213
방송,210
일상,178
미국,176
게임,176
강철부대,176
좋아,176
고양이,176
제이,163
슬기,159
10년,159
한강,159
라면,159
유재석,159
박상,159
건축,159
머리,159
맛집,159
이것,159
류현진,159
경찰,159
LG,159
동물,150
달걀,134
브레이브걸스,129
에이,126
주목,122
식단,122
극한,122
고발,122
한밤,122
애플,122
국밥,122
취소,122
합방,122
이용,122
배신,122
손님,122
깜놀,122
북한,122
햇님,122
가능,122
연습,122
가슴,122
전하,122
동네,122
확인,122
속이,122
알고,122
동충,122
유야호,122
유튜버,122
테스트,122
선배들,122
반백살,122
삼겹살,122
500,122
마술사,122
청와대,122
솥뚜껑,122
트로트,122
대반전,122
사람들,122
깨박,122
우유,122
쭈니형,122
김정환,122
BTS,122
새벽,122
정치,122
자체,122
소녀,122
봐야,122
신동,122
무시,122
생리,122
싫어,122
하늘,122
한일,122
소유,122
외국,122
사고,122
무한,122
김정,122
박재,122
보관,122
언니,122
주말,122
발견,122
화장,122
거부,122
조심,122
진화,122
전체,122
폭로,122
김두,120
꼬꼬,120
설사,120
무모,120
얼갈,120
유퀴즈,119
커플,119
친구,119
음식,119
전화,119
인터뷰,119
근황,119
유튜브,119
하루,119
엄마,117
방탄,106
한국,106
젝스,102
몰카,95
샤이니,93
릴레,93
추미애,93
남편,93
이승윤,93
스카,93
덕출,93
박용,93
강호동,93
천재,93
가족,93
공개,92
직업,87
은지,87
아침,87
모습,87
틱톡,87
대표,87
기념,87
영국,87
죄송,87
여친,87
세상,87
진심,87
결혼,87
계란,87
훈련,87
스포,87
남자,87
사과,87
프로,87
생일,87
복수,87
가짜사나,87
완벽,87
연애,87
진실,86
박광,86
제보,86
대신,86
답변,86
헬스,86
엄청,86
전국,86
진돗개,86
박문,86
선물,86
유나,86
관종언니,86
그녀,86
선배,86
신기,86
김호중,86
주인,86
부부,86
여러분,86
역사,86
해명,86
소리,86
일본인,86
소개,86
감사,86
특수,86
집들,86
영상,82
열무김,81
쏘영,81
희귀,81
애국,81
박지,80
무한도,80
오늘,78
지금,78
리뷰,76
하이라이트,75
지원,73
놀면뭐,71
무리,70
기적,67
출근,67
잘못,67
여름,67
시원,67
마피아,67
최악,67
축하,67
쯔양,67
첫사랑,67
유명가,67
마스크,67
압도적,67
스케,67
동원이,67
지나,67
영국인,67
피해자,67
김정현,67
스타일,67
공격,67
가사,67
고백,67
마라,67
오뎅,67
본인,67
2021년,67
학생,67
유튜버들,67
설치,67
순살,67
두부,67
이사,67
민주,67
용감,67
스튜디오,67
잼민,67
김태연,67
인정,67
상태,67
자리,67
기술,67
